cover_id,original_id,lcs_similarity,levenshtein_similarity,pitch_hist_similarity,dtw_distance,is_correct
5,65,0.855346,0.777143,0.464647,,0
5,66,0.842105,0.750000,0.868091,,0
5,67,0.843373,0.740741,0.702294,,0
5,68,0.803571,0.699482,0.692859,,0
5,69,0.813056,0.706186,0.732406,,0
5,70,0.842105,0.755556,0.652239,,0
5,71,0.876190,0.796512,0.884151,,0
5,72,0.910299,0.860759,0.771758,,0
5,73,0.792982,0.741259,0.664934,,0
5,74,0.772727,0.650718,0.673888,,0
5,75,0.805970,0.697917,0.724143,,0
5,76,0.936170,0.888112,0.711835,,0
5,77,0.926829,0.875000,0.784293,,0
5,78,0.794203,0.678218,0.599201,,0
5,79,0.829851,0.723958,0.708796,,0
5,80,0.838906,0.741935,0.487807,,0
6,1,0.898246,0.820513,0.707359,,0
6,2,0.980545,0.976744,0.636816,,0
6,3,0.741722,0.647399,0.771805,,0
6,4,0.867797,0.771084,0.912000,,0
6,5,0.874074,0.829787,0.852858,,0
6,6,0.854305,0.745665,0.676600,65.88910165870443,1
6,7,0.796875,0.790698,0.469200,,0
6,8,0.743516,0.591743,0.878323,,0
6,9,0.779456,0.638614,0.938024,,0
6,10,0.781818,0.641791,0.512441,,0
6,11,0.821656,0.697297,0.862331,,0
6,12,0.819277,0.790698,0.399550,,0
6,13,0.814332,0.702247,0.686842,,0
6,14,0.914286,0.847682,0.841083,,0
6,15,0.955556,0.914894,0.668673,,0
6,16,0.862876,0.758824,0.522974,,0
6,17,0.770149,0.626214,0.622906,,0
6,18,0.816456,0.689840,0.368671,,0
6,19,0.682667,0.520325,0.524977,,0
6,20,0.813880,0.686170,0.715328,,0
6,21,0.843137,0.728814,0.785987,,0
6,22,0.773414,0.633663,0.596012,,0
6,23,0.874126,0.789809,0.452527,,0
6,24,0.911661,0.837662,0.888282,,0
6,25,0.875862,0.788820,0.631394,,0
6,26,0.739255,0.586364,0.836474,,0
6,27,0.781818,0.641791,0.790172,,0
6,28,0.845902,0.732955,0.745010,,0
6,29,0.678947,0.513944,0.780364,,0
6,30,0.732955,0.578475,0.599302,,0
6,31,0.829582,0.708791,0.427190,,0
6,32,0.847584,0.792857,0.831199,,0
6,33,0.848684,0.737143,0.466170,,0
6,34,0.748538,0.600939,0.474795,,0
6,35,0.832258,0.712707,0.334275,,0
6,36,0.732955,0.578475,0.841976,,0
6,37,0.843137,0.728814,0.649102,,0
6,38,0.889655,0.801242,0.985641,,0
6,39,0.796296,0.661538,0.626164,,0
6,40,0.966292,0.934783,0.726146,,0
6,41,0.837662,0.720670,0.716311,,0
6,42,0.724719,0.568282,0.666846,,0
6,43,0.860000,0.754386,0.630007,,0
6,44,0.728814,0.573333,0.522791,,0
6,45,0.772036,0.635000,0.787822,,0
6,46,0.874576,0.777108,0.622248,,0
6,47,0.811321,0.682540,0.593592,,0
6,48,0.806250,0.675393,0.853640,,0
6,49,0.878893,0.793750,0.539466,,0
6,50,0.735043,0.581081,0.696725,,0
6,51,0.772455,0.629268,0.769780,,0
6,52,0.941176,0.895105,0.491089,,0
6,53,0.843137,0.728814,0.644447,,0
6,54,0.826923,0.704918,0.623617,,0
6,55,0.924731,0.860000,0.800435,,0
6,56,0.837662,0.720670,0.633587,,0
6,57,0.777108,0.635468,0.719140,,0
